student_id,feedback_text
1,"Meneer de vriess, je weet wel die kale docent met die opvallende rode bril uit gebouw R1, gaf mij onterecht een 3.4 voor mijn C++ herkansing op 12 maart."
2,"Ik vind dat Roos en Jasmijn de lessen veel beter voorbereiden, maar die nieuwe opleidingsdirecteur die altijd in die blauwe Porsche rijdt, luistert niet naar ze."
3,"Je kan mijn mentor bereiken via nul zes en dan 123 vier vijf 6 zeven acht, of mailen naar s punt van_der_meer apenstaartje student punt fontys punt nl."
4,"Omdat ik ADHD heb en afhankelijk ben van een rolstoel, was de verplichte excursie naar Berlijn met dhr. Van den Heuvel echt een logistieke ramp."
5,"Als enige student uit Tilburg-Noord met een hoofddoek in de klas van meneer Pietersen, voelde ik me erg ongemakkelijk bij zijn grappen over de Ramadan."
6,"Die leraar, op insta bekend als @tech_guru_040, deelde de code van mijn afstudeerproject zonder toestemming op zijn github genaamd j_doe88."
7,"Tijdens het project in semester 4 werd ik in de groep gezet met die lange jongen met die tatoeage in zijn nek, J.D., wat zorgde voor veel wrijving."
8,"The feedback session met mevrouw de jong was really unfair, ze zei literal dat mijn accent 'te allochtoon' klonk voor een commerciële pitch."
9,"Mijn stagebegeleider bij ASML, een man wiens naam klinkt als 'Sjaak', stuurde me 's avonds laat appjes vanaf zijn werknummer +31 6 8765 4321."
10,Docent p. janssen (niet te verwarren met piet jansen van de IT-desk) liet per ongeluk het Excel-bestand met alle BSN-nummers en cijfers openstaan op het digibord in lokaal TQ 3.14.
11,the teacher who is bold and with whirt shirt on and sweaty was really mad at me and was screaming
12,docent pietre had rode schoenen aan en een blauwe jas  in de klas
13,de docent met grote schoenen en teenslippers had haren op zijn voeten
