ID,Question_Tag,Question,Answer,anonymized_Answer
1.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,Professor Smith is brilliant but his grading usually takes over three months.,[TITLE] [[NAME]] is brilliant but his grading usually takes over three months.
1.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,My student advisor is never available for appointments during the standard work week.,My student advisor is never available for appointments during the standard work week.
1.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,"The final exam counted for 80% of the grade,"" which causes immense anxiety.","The final exam counted for 80% of the grade,"" which causes immense anxiety."
1.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,The administration almost never replies to emails; you have to go to the desk physically to get an answer.,The administration almost never replies to emails; you have to go to the desk physically to get an answer.
1.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,Getting extra time for my dyslexia took 6 months of paperwork to get approved.,Getting extra time for my [[PII]] took 6 months of paperwork to get approved.
1.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,The programming languages we are taught are 10 years out of date.,The programming languages we are taught are 10 years out of date.
1.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,Having a 2-hour gap between every single lecture is a huge waste of time.,Having a 2-hour gap between every single lecture is a huge waste of time.
1.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,"The transition between the first-year basics and second-year advanced modules felt like a massive, unguided jump.","The transition between the first-year basics and second-year advanced modules felt like a massive, unguided jump."
1.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,The mandatory internship felt more like administrative busywork than actual professional development.,The mandatory internship felt more like administrative busywork than actual professional development.
3.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,Mrs. van Dijk explains complex statistics in a way that actually makes sense to me.,[[PII]] [NAME] explains complex statistics in a way that actually makes sense to me.
3.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,I didn't even know we had a study counselor until my third year.,I didn't even know we had a study counselor until my third year.
3.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,The grading rubric for the essays was very clear and helped me structure my arguments.,The grading rubric for the essays was very clear and helped me structure my arguments.
3.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,The weekly newsletter is actually very informative and keeps me in the loop regarding faculty changes.,The weekly newsletter is actually very informative and keeps me in the loop regarding faculty changes.
3.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,Wheelchair access to the older buildings on campus is practically non-existent.,Wheelchair access to the [LOCATION] on campus is practically non-existent.
3.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,The presentation skills training in year 2 was incredibly effective and boosted my confidence.,The presentation skills training in year 2 was incredibly effective and boosted my confidence.
3.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,I love that all our core lectures are clustered on Tuesdays and Thursdays.,I love that all our core lectures are clustered on Tuesdays and Thursdays.
3.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,The order of the modules is confusing—we had to do the advanced coding project before we were taught the necessary syntax.,The order of the modules is confusing—we had to do the advanced coding project before we were taught the necessary syntax.
3.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,There is a massive gap between the theoretical models we learn and how software is actually built in the real world.,There is a massive gap between the theoretical models we learn and how software is actually built in the real world.
5.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,I really appreciate the quick and detailed email responses from the chemistry staff.,I really appreciate the quick and detailed email responses from the chemistry staff.
5.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,Peer mentors in the first year made a huge difference in my transition to university.,Peer mentors in the first year made a huge difference in my transition to university.
5.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,Open book exams are much more reflective of how we will solve problems in the real world.,Open book exams are much more reflective of how we will solve problems in the real world.
5.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,The student portal is a mess; important announcements get buried under irrelevant campus spam.,The student portal is a mess; important announcements get buried under irrelevant [LOCATION] spam.
5.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,"I appreciate the option to take exams in a separate"", quiet room.","I appreciate the option to take exams in a separate"", quiet room."
5.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,The critical thinking and research methodologies taught are top-notch.,The critical thinking and research methodologies taught are top-notch.
5.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,"The campus is spread out, and 15 minutes is not enough time to get from building A to building D.","The campus is spread out, and 15 minutes is not enough time to get from [LOCATION] to [LOCATION]."
5.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,"Semester 2 is significantly more packed than Semester 1,"" making it nearly impossible to keep up with the workload.","Semester 2 is significantly more packed than Semester 1,"" making it nearly impossible to keep up with the workload."
5.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,I would like to see more networking events that aren't just limited to the same three big local firms.,I would like to see more networking events that aren't just limited to the same three big local firms.
6.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,The substitute teacher we had for Calculus last week was totally unprepared.,The substitute teacher we had for [COURSE/DEPT] last week was totally unprepared.
6.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,The tutoring sessions provided by older students are much more helpful than official office hours.,The tutoring sessions provided by older students are much more helpful than official office hours.
6.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,The proctoring software used for online exams is invasive and constantly flags false positives.,The proctoring software used for online exams is invasive and constantly flags false positives.
6.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,I love the informal coffee sessions organized by the faculty every Friday; it makes staff feel human.,I love the informal coffee sessions organized by the faculty every Friday; it makes staff feel human.
6.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,The university needs to be more understanding of students who are also primary caregivers.,The university needs to be more understanding of students who are also primary caregivers.
6.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,I wish we spent more time on data visualization tools like Tableau or PowerBI.,I wish we spent more time on data visualization tools like [NAME] or PowerBI.
6.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,"The schedule is incredibly inconsistent; one week I have 4 hours,"" the next week I have 30.""","The schedule is incredibly inconsistent; one week I have 4 hours,"" the next week I have [PII]."""
6.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,The elective choices are very limited; most of the 'options' were already full by the time the portal opened.,The elective choices are very limited; most of the 'options' were already full by the time the portal opened.
6.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,Many of our 'practical' assignments use legacy tools that no one in the industry actually uses anymore.,Many of our 'practical' assignments use legacy tools that no one in the industry actually uses anymore.
7.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,Dr. Miller is very passionate about her subject but her lectures are disorganized.,[[NAME]] [[NAME]] is very passionate about her subject but her lectures are disorganized.
7.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,I felt very lost when selecting my minor and the guidance counselor just handed me a brochure.,I felt very lost when selecting my minor and the guidance counselor just handed me a brochure.
7.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,Oral exams are very subjective; I feel like my grade depended on the examiner's mood.,Oral exams are very subjective; I feel like my grade depended on the examiner's mood.
7.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,There is a massive bureaucratic barrier between students and the higher management of the faculty.,There is a massive bureaucratic barrier between students and the higher management of the faculty.
7.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,Recorded lectures were a lifesaver when I had to miss three weeks due to surgery.,Recorded lectures were a lifesaver when I had to miss three weeks due to surgery.
7.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,The academic writing skills I acquired have been invaluable for writing my thesis.,The academic writing skills I acquired have been invaluable for writing my thesis.
7.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,I appreciate that the exam schedule is released months in advance so I can plan my life.,I appreciate that the exam schedule is released months in advance so I can plan my life.
7.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,I would like more consistency in how different modules are organized on the online learning portal (Canvas/Moodle).,I would like more consistency in how different modules are organized on the online learning portal (Canvas/Moodle).
7.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,"The guest lectures are the highlight of the course,"" but they are too infrequent to make a lasting impact.","The guest lectures are the highlight of the course,"" but they are too infrequent to make a lasting impact."
8.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,It is frustrating when teachers do not upload the materials before the lecture starts.,It is frustrating when teachers do not upload the materials before the lecture starts.
8.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,"Our academic coach checks in with us every month, which really keeps me on track.","Our academic coach checks in with us every month, which really keeps me on track."
8.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,I appreciate that we have continuous assessment through weekly quizzes rather than one big final.,I appreciate that we have continuous assessment through weekly quizzes rather than one big final.
8.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,The Discord server set up by the professors is a fantastic way to ask quick questions and get fast replies.,The Discord server set up by the [TITLE] is a fantastic way to ask quick questions and get fast replies.
8.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,Professors often forget to apply the font size accommodations for my visual impairment.,[TITLE] often forget to apply the font size accommodations for my visual impairment.
8.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,We focus too much on memorizing formulas instead of learning how to apply them.,We focus too much on memorizing formulas instead of learning how to apply them.
8.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,Scheduling mandatory seminars on Friday at 5 PM is just ridiculous.,Scheduling mandatory seminars on Friday at 5 PM is just ridiculous.
8.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,The integration of guest lectures into the main syllabus felt forced and disconnected from the exam material.,The integration of guest lectures into the main syllabus felt forced and disconnected from the exam material.
8.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,I feel completely unprepared for the technical interviews required for the roles I am applying for.,I feel completely unprepared for the technical interviews required for the roles I am applying for.
9.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,The guest lecturers brought in from the industry provided great real-world insights.,The guest lecturers brought in from the industry provided great real-world insights.
9.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,The support for students struggling with basic math concepts is virtually non-existent.,The support for students struggling with basic math concepts is virtually non-existent.
9.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,The questions on the test covered material that was explicitly skipped during lectures.,The questions on the test covered material that was explicitly skipped during lectures.
9.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,I feel like my feedback on course evaluations just goes straight into the trash because nothing ever changes.,I feel like my feedback on course evaluations just goes straight into the trash because nothing ever changes.
9.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,"The financial support for elite athletes is good, but scheduling exams around tournaments is a nightmare.","The financial support for elite athletes is good, but scheduling exams around tournaments is a nightmare."
9.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,The negotiation workshop was the most useful skill-building exercise of the whole degree.,The negotiation workshop was the most useful skill-building exercise of the whole degree.
9.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,It is impossible to maintain a part-time job when the timetable changes every block.,It is impossible to maintain a part-time job when the timetable changes every block.
9.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,"It’s great that the curriculum is updated every year, but this makes it hard to use second-hand textbooks.","It’s great that the curriculum is updated every year, but this makes it hard to use second-hand textbooks."
9.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,The institution should facilitate more 'job shadowing' days to help us understand daily professional life.,The institution should facilitate more 'job shadowing' days to help us understand daily professional life.
10.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,"My mentor, Sarah Johnson,"" has been instrumental in helping me find an internship.","My [TITLE], [NAME],"" has been instrumental in helping me find an internship."
10.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,International student support is great; they helped me with all my visa and housing issues.,International student support is great; they helped me with all my visa and housing issues.
10.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,Peer grading for group work always leads to unfair outcomes and social friction.,Peer grading for group work always leads to unfair outcomes and social friction.
10.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,The student association does a great job of bridging the gap between staff and students.,The student association does a great job of bridging the gap between staff and students.
10.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,There is a severe lack of quiet spaces on campus for students with sensory overload issues.,There is a severe lack of quiet spaces on [LOCATION] for students with sensory overload issues.
10.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,I feel like I am graduating with a lot of theory but zero hard technical skills.,I feel like I am graduating with a lot of theory but zero hard technical skills.
10.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,The new scheduling software is a disaster; it double-booked three of my classes.,The new scheduling software is a disaster; it double-booked three of my classes.
10.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,The logical flow of the 'Business Ethics' thread throughout the three years is actually very well put together.,The logical flow of the 'Business Ethics' thread throughout the three years is actually very well put together.
10.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,The portfolio we build during the course is too academic and doesn't impress potential employers.,The portfolio we build during the course is too academic and doesn't impress potential employers.
11.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,Communication regarding exam requirements from the lead professor was confusing.,Communication regarding exam requirements from the lead professor was confusing.
11.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,The career counselor basically rewrote my CV for me; they are incredibly helpful.,The [TITLE] basically rewrote my CV for me; they are incredibly helpful.
11.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,The time given for the programming exam was way too short for the complexity of the task.,The time given for the programming exam was way too short for the complexity of the task.
11.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,Getting in contact with the exam board takes weeks and requires sending formal letters by post.,Getting in contact with the exam board takes weeks and requires sending formal letters by post.
11.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,The process of proving my ADHD every single year feels degrading and unnecessary.,The process of proving my ADHD every single year feels degrading and unnecessary.
11.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,The language courses offered alongside the main degree are fantastic.,The [COURSE/DEPT] offered alongside the [COURSE/DEPT] are fantastic.
11.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,I like that the lab sessions are scheduled in long 4-hour blocks rather than split up.,I like that the lab sessions are scheduled in long 4-hour blocks rather than split up.
11.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,"Too many group projects are scheduled at the exact same time,"" causing major bottlenecks in October.","Too many group projects are scheduled at the exact same time,"" causing major bottlenecks in October."
11.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,I would appreciate a module dedicated strictly to freelance management and professional networking skills.,I would appreciate a module dedicated strictly to freelance management and professional networking skills.
14.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,Mark is a great teacher but he needs to be more strict with loud students.,[NAME] is a great teacher but he needs to be more strict with loud students.
14.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,The financial aid office is very slow to respond to critical emails regarding tuition.,The financial aid office is very slow to respond to critical emails regarding tuition.
14.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,I like the portfolio assessment method as it showcases our growth over the entire year.,I like the portfolio assessment method as it showcases our growth over the entire year.
14.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,Important changes to the schedule or room locations are often communicated on the same day.,Important changes to the schedule or room locations are often communicated on the same day.
