student_id,feedback_text
1,"De docent Jan Janssen in Eindhoven gaf geweldige lessen, maar het lokaal was vaak koud. De docent nick heeft grote schoenen."
2,I really enjoyed the specific workshop given by Sarah Smith at the Amsterdam campus.
3,Het project met meneer De Vries op locatie Rotterdam was erg interessant en leerzaam.
4,My supervisor Michael Johnson was very helpful during my internship in Utrecht.
5,"De faciliteiten in het gebouw in Den Haag kunnen veel beter, vooral in de kantine van mevrouw Bakker."
6,I struggled with the final assignment from Dr. Williams. The library in Groningen was also too noisy.
7,Geweldige begeleiding gehad van docent Pietersen tijdens mijn afstudeerstage in Tilburg.
8,"The administration office in Maastricht, specifically Peter Jones, took way too long to respond to emails."
9,Mijn mentor Anna de Boer heeft me enorm geholpen toen ik vastliep op de locatie Breda.
10,The new course taught by Prof. Davis at the campus in Zwolle was quite difficult but rewarding.
11,the teacher who is bold and with whirt shirt on and sweaty was really mad at me and was screaming
12,docent pietre had rode schoenen aan en een blauwe jas  in de klas
13,de docent met grote schoenen en teenslippers had haren op zijn voeten

